,Rata-rata IPK,"Seberapa sering kamu menggunakan AI (ChatGPT, Copilot, Gemini, dll.) untuk belajar  ",Berapa persen tugas/pekerjaan kuliahmu yang biasanya melibatkan bantuan AI?  ,Seberapa sering kamu memverifikasi kebenaran jawaban AI sebelum menggunakannya?  ,Seberapa percaya kamu dengan hasil AI dibanding sumber resmi (buku/jurnal/dosen)?,Apakah kamu pernah merasa jawaban AI menyesatkan atau salah besar dalam belajar?,Seberapa sering kamu mengecek pemahaman setelah selesai belajar (misalnya mengulang/mencoba soal)? ,Apakah kamu merasa AI membantu kamu lebih disiplin/terarah dalam belajar?,Seberapa cemas kamu jika suatu hari akses AI dibatasi/dilarang?,"Menurutmu, penggunaan AI membuatmu lebih termotivasi atau lebih malas untuk belajar mandiri? 
(semakin banyak bintang semakin memotivasi)","Seberapa besar kamu merasa AI membantu dalam meningkatkan kualitas hasil belajar (nilai, pemahaman, keterampilan)?",Brainstorming ide,Coding / teknis,Menulis esai / laporan,Ringkasan materi,Jenis Kelamin_Laki - laki,Jenis Kelamin_Perempuan
0,1,5,2,3,3.0,0,4.0,4.0,3.0,3.0,4.0,1,1,1,1,True,False
1,1,5,1,3,3.0,0,4.0,4.0,3.0,3.0,4.0,1,0,0,1,False,True
2,0,5,2,4,3.0,0,4.0,4.0,3.0,3.0,4.0,1,1,1,1,False,True
3,0,5,2,3,4.0,0,3.0,5.0,5.0,5.0,5.0,1,1,1,1,True,False
4,1,4,2,4,4.0,1,4.0,3.0,5.0,4.0,4.0,1,1,0,0,True,False
5,0,5,2,4,4.0,0,4.0,4.0,3.0,4.0,4.0,1,1,1,1,True,False
6,0,5,2,3,3.0,0,3.0,3.0,4.0,3.0,5.0,1,1,0,1,True,False
7,0,5,2,5,3.0,0,4.0,5.0,5.0,2.0,4.0,1,1,1,1,True,False
8,1,4,2,5,3.0,1,3.0,4.0,4.0,5.0,5.0,1,1,0,0,True,False
9,1,5,2,5,3.0,1,2.0,4.0,5.0,3.0,5.0,1,1,1,1,True,False
10,0,4,1,4,2.0,0,3.0,5.0,3.0,4.0,4.0,0,0,1,1,True,False
11,0,5,1,5,2.0,0,4.0,4.0,2.0,3.0,4.0,1,1,0,0,False,True
12,1,5,2,5,3.0,1,3.0,4.0,3.0,3.0,4.0,1,1,1,1,False,True
13,0,5,2,4,4.0,2,4.0,5.0,5.0,3.0,4.0,1,1,0,0,False,True
14,1,4,1,4,3.0,0,4.0,4.0,2.0,4.0,4.0,1,0,0,0,False,True
15,0,4,1,5,4.0,0,4.0,4.0,4.0,5.0,4.0,1,1,0,1,True,False
16,1,4,2,5,2.0,2,3.0,2.0,4.0,3.0,4.0,0,1,1,0,True,False
17,1,5,2,4,4.0,0,4.0,4.0,4.0,4.0,5.0,1,1,0,1,False,True
18,0,4,2,3,2.0,0,3.0,3.0,3.0,3.0,4.0,0,1,0,0,False,True
19,1,5,2,2,3.0,0,2.0,4.0,4.0,4.0,4.0,1,1,0,1,False,True
20,1,4,2,3,3.0,0,3.0,3.0,2.0,3.0,4.0,1,1,0,1,True,False
21,0,5,1,1,4.0,1,3.0,4.0,5.0,3.0,5.0,1,1,1,1,True,False
22,0,5,1,5,3.0,1,5.0,5.0,3.0,4.0,5.0,1,0,0,1,True,False
23,0,4,0,5,3.0,2,5.0,3.0,2.0,3.0,4.0,1,0,0,1,True,False
24,1,5,2,5,2.0,1,5.0,5.0,5.0,5.0,5.0,1,1,1,1,False,True
25,1,5,2,5,3.0,2,4.0,4.0,5.0,4.0,4.0,1,1,1,1,False,True
26,1,5,2,3,2.0,1,3.0,5.0,5.0,2.0,5.0,1,1,1,1,False,True
27,1,4,1,4,3.0,0,4.0,3.0,2.0,4.0,4.0,1,0,0,1,False,True
28,2,5,2,3,2.0,0,4.0,4.0,2.0,4.0,4.0,1,0,0,1,True,False
29,1,4,1,3,4.0,2,5.0,3.0,1.0,3.0,5.0,1,0,0,0,False,True
30,1,5,2,5,2.0,0,4.0,2.0,5.0,1.0,5.0,1,1,1,1,False,True
31,3,2,1,4,2.0,1,2.0,3.0,1.0,5.0,2.0,1,0,1,0,True,False
32,1,4,1,4,2.0,0,2.0,4.0,3.0,3.0,3.0,0,1,0,1,False,True
33,1,5,2,4,2.0,2,5.0,5.0,5.0,4.0,4.0,1,1,0,1,True,False
34,2,5,2,2,4.0,0,2.0,1.0,5.0,1.0,2.0,1,1,0,0,True,False
35,1,4,2,5,3.0,2,4.0,4.0,3.0,3.0,4.0,0,1,0,1,False,True
36,1,4,1,4,2.0,0,4.0,4.0,3.0,4.0,5.0,1,1,1,1,True,False
37,1,5,1,5,3.0,2,4.0,5.0,3.0,5.0,5.0,1,1,0,1,True,False
38,1,4,2,4,4.0,0,4.0,4.0,3.0,3.0,4.0,1,1,0,1,True,False
39,1,3,1,4,3.0,0,3.0,4.0,1.0,4.0,4.0,1,1,0,1,True,False
40,1,4,1,4,4.0,2,3.0,2.0,4.0,2.0,4.0,1,1,0,0,True,False
41,0,5,2,5,3.0,2,4.0,3.0,3.0,3.0,4.0,0,1,0,0,True,False
42,1,2,0,5,2.0,2,5.0,2.0,1.0,3.0,3.0,0,0,0,1,True,False
43,1,2,0,4,1.0,2,3.0,2.0,1.0,3.0,2.0,0,1,0,1,False,True
44,1,4,1,4,3.0,0,4.0,5.0,3.0,4.0,5.0,1,0,1,1,False,True
45,1,5,2,4,3.0,2,3.0,3.0,4.0,3.0,3.0,1,1,1,1,False,True
46,1,4,1,3,2.0,2,3.0,4.0,2.0,4.0,4.0,0,0,0,1,True,False
47,0,4,1,5,3.0,2,4.0,4.0,3.0,2.0,3.0,1,1,0,1,True,False
48,1,5,2,3,2.0,2,2.0,3.0,5.0,3.0,3.0,1,1,1,1,False,True
49,0,5,2,5,5.0,1,5.0,5.0,5.0,5.0,5.0,1,1,1,1,True,False
50,2,5,2,4,5.0,1,4.0,5.0,5.0,5.0,5.0,1,1,1,1,True,False
51,0,3,0,5,2.0,2,4.0,3.0,2.0,3.0,4.0,1,0,0,1,True,False
52,1,5,2,2,3.0,0,3.0,3.0,5.0,5.0,5.0,1,1,1,1,False,True
53,1,4,1,3,2.0,0,4.0,3.0,3.0,3.0,3.0,1,0,0,1,False,True
54,3,5,2,4,3.0,0,4.0,4.0,4.0,4.0,4.0,1,0,0,1,False,True
55,1,5,2,5,3.0,0,5.0,5.0,5.0,4.0,5.0,1,1,1,1,False,True
56,0,4,2,5,3.0,0,5.0,4.0,2.0,2.0,4.0,1,1,0,0,True,False
57,0,5,2,5,2.0,2,3.0,5.0,3.0,2.0,4.0,1,1,1,1,True,False
58,0,4,1,2,1.0,0,4.0,5.0,3.0,2.0,5.0,0,1,1,0,True,False
59,1,3,1,5,2.0,2,4.0,3.0,3.0,3.0,4.0,0,1,1,1,True,False
60,2,5,2,4,4.0,0,3.0,4.0,4.0,4.0,5.0,1,1,0,1,True,False
61,1,5,2,3,3.0,0,3.0,4.0,5.0,3.0,5.0,1,1,0,1,True,False
62,1,4,1,3,3.0,2,4.0,3.0,3.0,3.0,3.0,1,1,1,0,False,True
63,0,5,2,4,4.0,0,4.0,4.0,3.0,4.0,4.0,1,1,1,1,True,False
